"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Unclassified_Lactobacillales"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Flavonifractor"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Unclassified_Alphaproteobacteria"	"Catenibacterium"	"Unclassified_Burkholderiales"	"Veillonella"	"Turicibacter"	"Haemophilus"	"Coprobacillus"	"Anaerovorax"	"Parasutterella"	"Dialister"	"Collinsella"	"Weissella"	"Unclassified_Bacteroidetes"	"Unclassified_Clostridiaceae_1"	"Brachyspira"	"Butyricimonas"	"Eggerthella"	"Unclassified_Acidaminococcaceae"	"Butyricicoccus"	"Holdemania"	"Clostridium_XlVb"	"Porphyromonas"	"Pseudoflavonifractor"	"TM7_genus_incertae_sedis"	"Bilophila"	"Unclassified_Desulfovibrionaceae"	"Unclassified_Proteobacteria"	"Subdoligranulum"	"Unclassified_Veillonellaceae"	"Unclassified_Porphyromonadaceae"	"Rothia"	"Unclassified_Clostridia"	"Unclassified_Selenomonadales"	"Soehngenia"	"Unclassified_Bacilli"	"Unclassified_Actinomycetales"	"Paraprevotella"	"Campylobacter"	"Desulfovibrio"	"Fusobacterium"	"Lactococcus"	"Anaerotruncus"	"Acidaminococcus"	"Unclassified_Erysipelotrichaceae"	"Eubacterium"	"Unclassified_Fusobacteriaceae"	"Moraxella"	"Anaerobacter"	"Clostridium_III"	"Leuconostoc"	"Megasphaera"	"Victivallis"	"Gemella"	"Peptoniphilus"	"Enterobacter"	"Granulicatella"	"Allisonella"	"Finegoldia"	"Unclassified_Bacillales"	"Hespellia"	"Cloacibacterium"	"Staphylococcus"	"Anaerostipes"	"Howardella"	"Anaerococcus"	"Unclassified_Actinobacteria"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Corynebacterium"	"Abiotrophia"	"Brevundimonas"	"Unclassified_Peptostreptococcaceae"	"Parvimonas"	"Asaccharobacter"	"Anaerofustis"	"Pseudobutyrivibrio"	"Acetobacterium"	"Succinivibrio"	"Pasteurella"	"Gordonibacter"	"Pseudomonas"	"Rhizobium"	"Streptophyta"	"Unclassified_Corynebacteriaceae"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Unclassified_Gammaproteobacteria"	"Unclassified_Betaproteobacteria"	"Mogibacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Pseudomonadaceae"	"Slackia"	"Solobacterium"	"Unclassified_Rikenellaceae"	"Sarcina"	"Unclassified_Pasteurellaceae"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Atopobium"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Aggregatibacter"	"Erysipelothrix"	"Anaerofilum"	"Catonella"	"Unclassified_Peptococcaceae_1"	"Cellulosilyticum"	"Acinetobacter"
2748	9	116	235	100	47	7	35	62	32	50	6	2	0	60	80	511	0	3	0	96	39	41	45	0	4	4	5	0	0	1	0	16	0	0	4	0	5	1	0	3	0	0	1	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
743	5212	887	307	681	36	156	263	376	317	202	29	0	56	108	35	238	0	15	0	109	174	330	33	16	39	4	175	3	0	0	1	53	1	0	116	0	0	3	36	5	1	597	158	0	1	1	3	5	0	26	8	0	0	0	0	4	0	11	8	6	12	2	7	0	18	17	3	7	1	1	0	6	5	0	0	1	3	0	22	0	1	0	0	13	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	4	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
962	37	25	556	9	18	68	22	11	6	18	92	1	0	18	16	9	0	0	68	2	6	10	13	0	1	4	0	0	0	0	63	7	0	31	39	1	27	19	0	7	0	0	0	0	25	0	0	32	0	1	1	0	0	6	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	352	0	0	0	0	0	0	739	0	0	623	0	113	0	0	0	704	0	0	17	0	167	0	0	0	0	46	0	207	110	0	179	0	0	338	0	0	0	0	0	0	0	82	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483	0	423	0	55	42	13	43	236	66	213	28	1	4	27	67	0	0	16	20	118	52	36	18	0	0	101	0	1	0	0	1	8	0	0	0	0	0	28	0	3	144	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	8	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
579	5233	552	110	277	59	42	74	186	69	61	5	0	4	22	9	17	0	17	3	18	38	22	28	0	11	10	68	0	0	0	1	4	0	0	23	0	92	2	10	62	0	0	0	0	1	1	0	0	0	22	1	0	1	1	0	0	1	0	1	0	2	1	0	0	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7603	4	1088	0	173	17	126	10	539	337	72	140	6	3	245	29	0	1952	23	0	23	192	454	22	0	9	8	1	1104	0	0	2	0	0	40	0	0	0	3	0	1	0	0	48	11	0	23	2	0	0	1	10	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	54	0	1	49	0	0	0	0	1	0	0	9	0	2	0	0	0	23	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1965	1	71	0	1	33	0	26	30	3	18	4	35	11	36	32	0	0	1	0	6	5	0	19	0	8	4	0	3	0	0	0	3	1	0	0	0	0	6	0	0	0	0	18	0	0	0	53	0	0	0	0	0	2	0	0	0	0	0	0	0	4	4	8	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116	5304	109	26	218	9	243	30	61	60	23	24	1	0	30	7	285	0	3	0	17	7	37	7	0	17	14	21	5	0	0	17	1	1	1	6	0	4	0	12	2	0	0	0	2	4	9	0	0	2	10	0	0	2	5	0	5	0	0	1	0	0	0	2	0	0	0	4	1	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13891	4	177	4	25	2	1	17	11	67	42	0	0	7	59	1	0	0	0	0	17	43	13	14	10	408	18	69	1	0	1158	0	16	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	3	0	20	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	1123	296	59	601	59	12	117	136	56	59	236	10	0	88	96	10	743	195	0	37	23	31	23	1029	3	1	24	10	0	0	1	75	0	196	5	0	8	5	3	0	2	0	0	10	0	21	0	0	0	76	14	5	1	1	0	1	0	0	3	0	2	0	0	1	5	0	1	4	19	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	5	5	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800	3	616	64	664	1017	75	154	540	323	230	76	0	8	234	135	0	0	44	30	46	63	68	68	0	6	19	35	2	0	21	14	33	14	0	0	0	0	18	0	7	0	0	0	3	0	37	0	14	13	0	0	0	1	5	0	0	1	2	0	0	0	0	3	0	1	0	0	7	0	0	0	0	0	25	0	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1519	0	290	21	33	1	49	33	76	26	88	4	1	8	18	90	0	130	3	0	15	44	36	1	0	2	13	0	8	0	0	0	6	0	24	0	0	0	4	0	1	0	0	27	1	1	2	0	0	0	0	14	0	2	0	0	0	2	0	2	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4762	0	483	453	215	22	555	15	269	203	78	28	0	0	17	21	0	0	2	0	49	31	18	56	0	15	103	16	1	0	0	0	1	0	8	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2264	15	268	2141	98	200	162	392	129	122	81	45	2	1	122	4	9	0	26	51	20	22	19	19	1	120	6	75	5	0	0	6	125	0	0	142	0	120	4	0	1	4	0	0	0	1	0	1	4	0	4	8	0	9	9	0	39	0	0	0	0	2	2	3	0	0	36	1	12	0	5	0	0	0	0	0	0	0	1	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
