"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Parabacteroides"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Unclassified_Clostridiales"	"Clostridium_XI"	"Escherichia_Shigella"	"Erysipelotrichaceae_incertae_sedis"	"Unclassified_Bacteria"	"Clostridium_IV"	"Sutterella"	"Megamonas"	"Bifidobacterium"	"Akkermansia"	"Clostridium_XlVa"	"Roseburia"	"Dorea"	"Unclassified_Firmicutes"	"Lactobacillus"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Gemmiger"	"Streptococcus"	"Unclassified_Lactobacillales"	"Enterococcus"	"Clostridium_sensu_stricto"	"Oscillibacter"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Flavonifractor"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Unclassified_Alphaproteobacteria"	"Catenibacterium"	"Unclassified_Burkholderiales"	"Veillonella"	"Turicibacter"	"Haemophilus"	"Coprobacillus"	"Anaerovorax"	"Parasutterella"	"Dialister"	"Collinsella"	"Weissella"	"Unclassified_Bacteroidetes"	"Unclassified_Clostridiaceae_1"	"Brachyspira"	"Butyricimonas"	"Eggerthella"	"Unclassified_Acidaminococcaceae"	"Butyricicoccus"	"Holdemania"	"Clostridium_XlVb"	"Porphyromonas"	"Pseudoflavonifractor"	"TM7_genus_incertae_sedis"	"Bilophila"	"Unclassified_Desulfovibrionaceae"	"Unclassified_Proteobacteria"	"Subdoligranulum"	"Unclassified_Veillonellaceae"	"Unclassified_Porphyromonadaceae"	"Rothia"	"Unclassified_Clostridia"	"Unclassified_Selenomonadales"	"Soehngenia"	"Unclassified_Bacilli"	"Unclassified_Actinomycetales"	"Paraprevotella"	"Campylobacter"	"Desulfovibrio"	"Fusobacterium"	"Lactococcus"	"Anaerotruncus"	"Acidaminococcus"	"Unclassified_Erysipelotrichaceae"	"Eubacterium"	"Unclassified_Fusobacteriaceae"	"Moraxella"	"Anaerobacter"	"Clostridium_III"	"Leuconostoc"	"Megasphaera"	"Victivallis"	"Gemella"	"Peptoniphilus"	"Enterobacter"	"Granulicatella"	"Allisonella"	"Finegoldia"	"Unclassified_Bacillales"	"Hespellia"	"Cloacibacterium"	"Staphylococcus"	"Anaerostipes"	"Howardella"	"Anaerococcus"	"Unclassified_Actinobacteria"	"Unclassified_Coriobacteriaceae"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Corynebacterium"	"Abiotrophia"	"Brevundimonas"	"Unclassified_Peptostreptococcaceae"	"Parvimonas"	"Asaccharobacter"	"Anaerofustis"	"Pseudobutyrivibrio"	"Acetobacterium"	"Succinivibrio"	"Pasteurella"	"Gordonibacter"	"Pseudomonas"	"Rhizobium"	"Streptophyta"	"Unclassified_Corynebacteriaceae"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Unclassified_Gammaproteobacteria"	"Unclassified_Betaproteobacteria"	"Mogibacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Pseudomonadaceae"	"Slackia"	"Solobacterium"	"Unclassified_Rikenellaceae"	"Sarcina"	"Unclassified_Pasteurellaceae"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Atopobium"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Aggregatibacter"	"Erysipelothrix"	"Anaerofilum"	"Catonella"	"Unclassified_Peptococcaceae_1"	"Cellulosilyticum"	"Acinetobacter"
2152	10	109	545	99	115	107	253	41	20	95	50	22	4	23	395	0	0	1	105	24	28	21	43	0	8	27	19	7	0	0	29	71	2	115	0	1	62	7	0	26	0	0	0	0	5	0	0	4	4	0	5	0	2	6	0	0	9	0	1	0	1	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1393	0	84	396	14	1203	86	74	49	14	52	20	0	5	61	120	1	0	20	1	9	6	20	9	0	5	3	0	10	0	1	0	14	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	0	5	1	0	0	1	0	0	0	0	1	0	23	2	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444	0	10	0	0	0	1295	1	0	0	2	113	444	26	2	0	0	0	0	0	0	0	0	0	0	16	4	0	1	0	1	1	0	159	1	0	2	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2411	1	9	78	25	119	20	29	9	3	2	5	0	0	7	24	0	0	4	0	2	2	1	2	0	3	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	1599	267	115	491	384	4	349	160	221	187	35	2	3	192	59	25	0	46	0	37	81	36	51	0	0	5	45	1	0	0	13	4	0	0	1	0	4	3	135	82	0	0	0	0	0	6	2	0	0	5	38	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16063	2	164	889	321	6	0	26	10	859	165	48	0	51	46	76	3	0	1	553	192	31	2	11	0	12	159	0	2	0	0	4	10	0	0	0	0	0	27	0	0	0	0	0	3	0	0	23	7	0	0	0	0	0	2	0	0	3	1	15	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8487	3	873	80	612	487	144	439	553	210	222	203	9	76	51	50	83	0	81	0	103	236	182	28	2	19	45	20	3	0	0	4	41	0	0	82	0	0	48	0	0	0	0	0	0	53	13	1	0	0	19	16	0	1	1	0	0	2	0	25	13	2	1	0	1	3	0	0	5	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2132	5	696	252	361	227	80	564	444	145	116	47	0	12	45	77	166	0	0	0	133	126	30	162	0	24	50	57	7	0	0	56	27	0	0	123	0	15	5	0	159	1	0	0	0	0	4	0	1	0	7	6	1	1	5	0	9	1	0	2	0	3	0	0	1	6	23	0	0	3	15	1	0	0	0	0	0	0	0	4	0	1	0	1	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
14198	1	753	0	623	346	89	144	267	161	89	47	0	0	37	14	31	194	14	0	39	62	39	26	0	12	21	99	4	0	0	4	9	0	0	0	0	1	5	2	1	0	0	0	1	19	11	0	3	0	2	2	0	5	1	0	0	4	0	4	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8933	3	523	113	119	55	0	139	270	367	89	10	0	14	10	33	0	0	7	0	76	69	11	71	0	2	120	86	5	0	0	135	0	0	0	0	0	0	63	0	0	0	0	0	1	1	3	0	1	160	19	0	0	1	1	0	0	1	0	6	0	1	0	0	0	0	0	0	0	8	0	0	4	0	0	0	0	0	3	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2402	0	3	0	51	0	3	1	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	15	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1429	474	0	72	126	1	132	15	1	3	3	11	0	0	4	0	152	0	0	0	2	0	0	0	0	169	0	5	0	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6746	6710	187	1295	78	27	331	36	52	67	51	8	0	16	69	37	211	0	1	0	14	56	65	5	0	83	7	11	1	0	2	1	17	0	5	158	0	3	2	52	1	0	0	0	0	0	7	0	4	6	0	6	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	10	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1
1564	0	93	47	100	4	102	68	23	10	22	24	0	21	19	31	16	0	65	544	26	11	39	9	0	9	35	37	15	0	0	60	1	0	54	4	0	0	5	0	2	0	0	0	1	7	1	11	4	0	0	0	0	0	4	0	0	2	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3082	0	21	0	37	11	0	4	4	23	20	1	0	13	6	2	6	0	1	0	20	7	0	2	0	10	0	1	0	0	11	1	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1388	0	182	74	71	83	21	300	92	21	28	58	1	2	38	125	0	0	1	49	4	20	6	4	0	7	17	54	0	0	0	10	4	0	34	9	0	0	4	0	0	0	0	0	0	1	1	0	13	3	0	0	0	0	16	0	0	0	0	1	0	2	0	0	26	2	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	7	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19596	3	237	1268	201	95	6	495	26	71	38	0	0	14	51	33	1	0	0	2	64	85	16	19	0	82	2	26	2	0	0	0	31	0	33	0	0	0	18	2	3	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	12	0	0	1	0	0	0	0	7	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8392	0	585	0	731	88	0	240	126	28	760	9	0	15	1190	9	1	0	43	22	283	53	15	19	2	1	55	0	17	0	0	2	94	0	0	0	0	0	11	0	8	11	0	215	31	0	0	0	26	0	0	0	0	7	1	0	0	1	0	16	13	0	0	16	1	0	0	2	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2972	4638	19	109	366	5	639	69	4	9	6	0	0	18	16	2	317	0	0	1	63	0	0	6	0	128	2	2	1	0	0	0	20	0	0	156	3	128	25	252	0	0	66	1	0	0	0	2	0	0	0	0	0	4	0	0	79	0	77	0	1	0	0	2	0	7	0	9	6	0	4	3	0	41	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2986	0	142	16	82	6	0	6	95	52	29	23	4	5	29	1	0	0	2	0	46	41	9	1	0	4	13	0	0	0	0	0	29	0	0	0	0	0	7	0	1	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	9761	200	1	74	46	14	98	70	84	71	18	6	1	60	11	16	0	0	0	10	20	15	22	0	41	1	6	1	0	0	6	10	2	0	1	7	2	0	105	19	0	50	97	0	0	0	0	1	0	0	0	0	93	6	189	3	0	39	3	0	5	0	0	0	0	0	1	4	0	4	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
744	74	911	0	1207	37	10	21	144	485	201	1997	1181	323	30	7	1	1	11	0	280	168	406	18	18	11	95	11	169	1	1	17	0	91	0	1	63	1	9	1	3	0	0	0	159	13	75	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	55	1	1	0	0	1	0	0	5	2	3	0	0	0	4	0	18	0	1	20	0	0	3	0	28	0	1	0	0	0	0	1	6	7	2	0	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
2083	2	30	95	154	12	41	19	10	5	19	11	0	2	59	8	0	0	0	18	13	8	3	2	0	4	5	0	0	0	3	0	33	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5822	2	714	907	530	3002	29	805	480	347	237	139	0	7	89	311	0	0	0	0	65	89	75	123	1	1	23	174	21	0	0	0	19	0	0	0	0	0	11	0	2	2	0	0	1	72	0	0	3	0	0	0	0	2	0	0	0	2	0	0	1	3	2	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
2670	0	329	692	130	88	10	742	166	99	209	140	11	10	28	151	0	0	2	0	23	77	79	13	0	6	20	40	16	0	0	23	36	4	4	0	1	0	8	0	0	0	0	0	0	42	0	0	9	6	0	1	0	0	8	0	0	1	4	1	2	0	0	1	2	14	0	0	4	0	0	0	5	1	0	0	1	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	49	163	0	177	5	7	18	50	125	64	92	7	1018	15	0	3	0	27	0	20	55	16	35	14	5	4	2	41	392	2	0	0	2	0	0	0	0	7	0	3	0	0	0	0	0	3	1	0	0	0	0	54	2	0	0	0	21	0	0	0	2	2	0	0	0	0	0	0	0	0	13	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
