".record.id","feature","abundance.diff"
"MG1","Bacteroides.Otu0001",0.00272534972505884
"MG10","Bacteroides.Otu0001",0.496595775809025
"MG13","Bacteroides.Otu0001",0.15064668961402
"MG14","Bacteroides.Otu0001",-0.00609246486964923
"MG16","Bacteroides.Otu0001",0.0102435257984434
"MG17","Bacteroides.Otu0001",0.0425839977882009
"MG19","Bacteroides.Otu0001",0.0441609669928543
"MG2","Bacteroides.Otu0001",-0.0029015503327874
"MG21","Bacteroides.Otu0001",0.0617735457580002
"MG22","Bacteroides.Otu0001",-0.104897657559171
"MG23","Bacteroides.Otu0001",0.00950635934016047
"MG25","Bacteroides.Otu0001",0.164891328146821
"MG3","Bacteroides.Otu0001",0.206630185173569
"MG4","Bacteroides.Otu0001",0.120921631634201
"MG6","Bacteroides.Otu0001",-0.0399156639516599
"MG8","Bacteroides.Otu0001",-0.0401994528783948
"MG1","Bacteroides.Otu2520",0.161827417110308
"MG10","Bacteroides.Otu2520",-0.117341558645529
"MG13","Bacteroides.Otu2520",0.00862005957952217
"MG14","Bacteroides.Otu2520",-0.0746502531351998
"MG16","Bacteroides.Otu2520",-0.0270384991890517
"MG17","Bacteroides.Otu2520",-0.00574307408226128
"MG19","Bacteroides.Otu2520",-0.239445885282908
"MG2","Bacteroides.Otu2520",-0.00376642140659563
"MG21","Bacteroides.Otu2520",-0.0165933091685391
"MG22","Bacteroides.Otu2520",0.0760438672489961
"MG23","Bacteroides.Otu2520",0
"MG25","Bacteroides.Otu2520",0.0443569235009499
"MG3","Bacteroides.Otu2520",0.138948931967061
"MG4","Bacteroides.Otu2520",-0.0176663683187071
"MG6","Bacteroides.Otu2520",-0.0119063308079272
"MG8","Bacteroides.Otu2520",0.0780224589104466
"MG1","Prevotella.Otu1987",-0.135746182598609
"MG10","Prevotella.Otu1987",0
"MG13","Prevotella.Otu1987",-0.219449489391296
"MG14","Prevotella.Otu1987",0
"MG16","Prevotella.Otu1987",0
"MG17","Prevotella.Otu1987",-0.198904805950069
"MG19","Prevotella.Otu1987",0
"MG2","Prevotella.Otu1987",-0.0757143299045404
"MG21","Prevotella.Otu1987",0.099621585699338
"MG22","Prevotella.Otu1987",0
"MG23","Prevotella.Otu1987",0
"MG25","Prevotella.Otu1987",-0.247796594066182
"MG3","Prevotella.Otu1987",0
"MG4","Prevotella.Otu1987",0
"MG6","Prevotella.Otu1987",0
"MG8","Prevotella.Otu1987",-7.32600731945417e-05
"MG1","Bacteroides.Otu2654",0.400909368272997
"MG10","Bacteroides.Otu2654",0.07560206352126
"MG13","Bacteroides.Otu2654",0.0342918279507038
"MG14","Bacteroides.Otu2654",0.00161437770722577
"MG16","Bacteroides.Otu2654",-0.00471432753793161
"MG17","Bacteroides.Otu2654",-8.51571147740252e-05
"MG19","Bacteroides.Otu2654",-0.00161160284790144
"MG2","Bacteroides.Otu2654",-0.000829015449082341
"MG21","Bacteroides.Otu2654",-0.00748732255896898
"MG22","Bacteroides.Otu2654",-0.00732674155307876
"MG23","Bacteroides.Otu2654",0.000741564633553569
"MG25","Bacteroides.Otu2654",0.0048177749361475
"MG3","Bacteroides.Otu2654",0.0336968280377605
"MG4","Bacteroides.Otu2654",0.0659472942219308
"MG6","Bacteroides.Otu2654",-0.000213128728139249
"MG8","Bacteroides.Otu2654",0.048846460415525
"MG1","Bacteroides.Otu0863",0.00244718448163892
"MG10","Bacteroides.Otu0863",0.0260120154713282
"MG13","Bacteroides.Otu0863",0.027556762320392
"MG14","Bacteroides.Otu0863",0.131601887645486
"MG16","Bacteroides.Otu0863",0.0790030425860957
"MG17","Bacteroides.Otu0863",-0.00826014621109293
"MG19","Bacteroides.Otu0863",-0.00940088221198718
"MG2","Bacteroides.Otu0863",0.010079678183568
"MG21","Bacteroides.Otu0863",-0.0108988545875146
"MG22","Bacteroides.Otu0863",0.00943119171547574
"MG23","Bacteroides.Otu0863",0.0159429656818346
"MG25","Bacteroides.Otu0863",0.0224039380775978
"MG3","Bacteroides.Otu0863",-0.00655240866998663
"MG4","Bacteroides.Otu0863",-0.00619578572794052
"MG6","Bacteroides.Otu0863",0.157654851083755
"MG8","Bacteroides.Otu0863",-0.00339257930288613
"MG1","Bacteroides.Otu2038",0.000381782529599231
"MG10","Bacteroides.Otu2038",0.00160578012082724
"MG13","Bacteroides.Otu2038",0.0155125173429301
"MG14","Bacteroides.Otu2038",0.125432133006885
"MG16","Bacteroides.Otu2038",-0.0021141975094362
"MG17","Bacteroides.Otu2038",0.00505898975143085
"MG19","Bacteroides.Otu2038",0.00198810140104799
"MG2","Bacteroides.Otu2038",0.000378644443810955
"MG21","Bacteroides.Otu2038",0.0198562722768768
"MG22","Bacteroides.Otu2038",-0.00756713847538389
"MG23","Bacteroides.Otu2038",0.144349420072816
"MG25","Bacteroides.Otu2038",0.0170780413382309
"MG3","Bacteroides.Otu2038",0.0186570415912008
"MG4","Bacteroides.Otu2038",0.0023517438241652
"MG6","Bacteroides.Otu2038",-0.00168485712740975
"MG8","Bacteroides.Otu2038",-0.0228013959539399
"MG1","Faecalibacterium.Otu0067",-0.0653677212137676
"MG10","Faecalibacterium.Otu0067",0.00419770815105237
"MG13","Faecalibacterium.Otu0067",-0.001559518939545
"MG14","Faecalibacterium.Otu0067",-0.0143023845230617
"MG16","Faecalibacterium.Otu0067",-0.0201846847608924
"MG17","Faecalibacterium.Otu0067",0.0479046232392292
"MG19","Faecalibacterium.Otu0067",0.00567363461801487
"MG2","Faecalibacterium.Otu0067",-0.0306960671152701
"MG21","Faecalibacterium.Otu0067",0.0211772002550641
"MG22","Faecalibacterium.Otu0067",-0.0052121727401548
"MG23","Faecalibacterium.Otu0067",0.0220811134173638
"MG25","Faecalibacterium.Otu0067",0.012471251531449
"MG3","Faecalibacterium.Otu0067",-0.016143542471017
"MG4","Faecalibacterium.Otu0067",-0.0015986353361802
"MG6","Faecalibacterium.Otu0067",-0.0146649126288202
"MG8","Faecalibacterium.Otu0067",-0.0206169242683339
"MG1","Alistipes.Otu2508",-0.009159639401533
"MG10","Alistipes.Otu2508",-0.0443137517819531
"MG13","Alistipes.Otu2508",0.0382076073225479
"MG14","Alistipes.Otu2508",-0.027005128559217
"MG16","Alistipes.Otu2508",0.00101048457387415
"MG17","Alistipes.Otu2508",-0.00613127385606313
"MG19","Alistipes.Otu2508",0.000451341754723029
"MG2","Alistipes.Otu2508",-0.0234175487683796
"MG21","Alistipes.Otu2508",-0.0985551614034888
"MG22","Alistipes.Otu2508",-0.00561179989477007
"MG23","Alistipes.Otu2508",0
"MG25","Alistipes.Otu2508",0.0066348894933452
"MG3","Alistipes.Otu2508",0.0308909791507004
"MG4","Alistipes.Otu2508",0
"MG6","Alistipes.Otu2508",0.123142903923018
"MG8","Alistipes.Otu2508",0
"MG1","Ruminococcus.Otu1859",-0.000176149373758775
"MG10","Ruminococcus.Otu1859",0
"MG13","Ruminococcus.Otu1859",-0.00141018814533635
"MG14","Ruminococcus.Otu1859",-0.136867539055116
"MG16","Ruminococcus.Otu1859",-0.0164050397421749
"MG17","Ruminococcus.Otu1859",0
"MG19","Ruminococcus.Otu1859",-0.181702337935055
"MG2","Ruminococcus.Otu1859",-0.0592399561407342
"MG21","Ruminococcus.Otu1859",-0.016063566183693
"MG22","Ruminococcus.Otu1859",-0.0035701459324509
"MG23","Ruminococcus.Otu1859",0
"MG25","Ruminococcus.Otu1859",-0.0027138561128364
"MG3","Ruminococcus.Otu1859",-0.00918788037775821
"MG4","Ruminococcus.Otu1859",0
"MG6","Ruminococcus.Otu1859",-0.00660694255486302
"MG8","Ruminococcus.Otu1859",-0.0160571596610508
"MG1","Bacteroides.Otu2065",-0.00387527654305903
"MG10","Bacteroides.Otu2065",-0.0343192458524458
"MG13","Bacteroides.Otu2065",0
"MG14","Bacteroides.Otu2065",0
"MG16","Bacteroides.Otu2065",-0.0399067420944054
"MG17","Bacteroides.Otu2065",0
"MG19","Bacteroides.Otu2065",0.3769020526905
"MG2","Bacteroides.Otu2065",0
"MG21","Bacteroides.Otu2065",-0.0255279214646385
"MG22","Bacteroides.Otu2065",0
"MG23","Bacteroides.Otu2065",0
"MG25","Bacteroides.Otu2065",0
"MG3","Bacteroides.Otu2065",-1.31616041885545e-05
"MG4","Bacteroides.Otu2065",0
"MG6","Bacteroides.Otu2065",0
"MG8","Bacteroides.Otu2065",0.0716660370600972
"MG1","Bacteroides.Otu0848",0.00874082230299437
"MG10","Bacteroides.Otu0848",0.0446501511052435
"MG13","Bacteroides.Otu0848",0.00528134496197106
"MG14","Bacteroides.Otu0848",0.0046848931353199
"MG16","Bacteroides.Otu0848",-0.0118649811232303
"MG17","Bacteroides.Otu0848",-0.00127735637579005
"MG19","Bacteroides.Otu0848",-0.0013430025508874
"MG2","Bacteroides.Otu0848",0.000171390559284328
"MG21","Bacteroides.Otu0848",-0.0157506739420678
"MG22","Bacteroides.Otu0848",0.00397864258204064
"MG23","Bacteroides.Otu0848",0.12904458945525
"MG25","Bacteroides.Otu0848",0.0167293169270357
"MG3","Bacteroides.Otu0848",0.00953309435501467
"MG4","Bacteroides.Otu0848",-0.0040678321349702
"MG6","Bacteroides.Otu0848",0.00423963792883094
"MG8","Bacteroides.Otu0848",0.0267908126447507
"MG1","Prevotella.Otu1994",0
"MG10","Prevotella.Otu1994",0
"MG13","Prevotella.Otu1994",-0.138286140881237
"MG14","Prevotella.Otu1994",0
"MG16","Prevotella.Otu1994",0
"MG17","Prevotella.Otu1994",-0.0320987199905833
"MG19","Prevotella.Otu1994",0
"MG2","Prevotella.Otu1994",-0.216947034954481
"MG21","Prevotella.Otu1994",0.0130068163251979
"MG22","Prevotella.Otu1994",0
"MG23","Prevotella.Otu1994",0
"MG25","Prevotella.Otu1994",-0.0223997938215057
"MG3","Prevotella.Otu1994",0
"MG4","Prevotella.Otu1994",0
"MG6","Prevotella.Otu1994",0
"MG8","Prevotella.Otu1994",0
"MG1","Bacteroides.Otu2431",0.00427746510373259
"MG10","Bacteroides.Otu2431",-0.0474929418770448
"MG13","Bacteroides.Otu2431",0.00412795525285126
"MG14","Bacteroides.Otu2431",-6.14435296276243e-05
"MG16","Bacteroides.Otu2431",-7.1730757904901e-05
"MG17","Bacteroides.Otu2431",-0.00136251341645976
"MG19","Bacteroides.Otu2431",0.0188087159341877
"MG2","Bacteroides.Otu2431",-0.000829015449082341
"MG21","Bacteroides.Otu2431",0.00317827417257044
"MG22","Bacteroides.Otu2431",0.00558139158058248
"MG23","Bacteroides.Otu2431",0.030770079376059
"MG25","Bacteroides.Otu2431",0.00300015364652092
"MG3","Bacteroides.Otu2431",-0.0246987187271176
"MG4","Bacteroides.Otu2431",-0.0544893251781963
"MG6","Bacteroides.Otu2431",-0.0168971605983948
"MG8","Bacteroides.Otu2431",-0.0123885618201671
"MG1","Alistipes.Otu1466",0
"MG10","Alistipes.Otu1466",0
"MG13","Alistipes.Otu1466",0.0353838622825269
"MG14","Alistipes.Otu1466",-0.00909534297336839
"MG16","Alistipes.Otu1466",0.0679332832525027
"MG17","Alistipes.Otu1466",-0.00723829155856997
"MG19","Alistipes.Otu1466",-0.0781032858380703
"MG2","Alistipes.Otu1466",0
"MG21","Alistipes.Otu1466",-0.140263310377008
"MG22","Alistipes.Otu1466",0.0015054408322282
"MG23","Alistipes.Otu1466",0
"MG25","Alistipes.Otu1466",0
"MG3","Alistipes.Otu1466",0.0192534138567292
"MG4","Alistipes.Otu1466",0.00767746776314022
"MG6","Alistipes.Otu1466",0.00557556186542686
"MG8","Alistipes.Otu1466",-0.000732600667069145
"MG1","Bacteroides.Otu2625",0.104946424591108
"MG10","Bacteroides.Otu2625",-0.0656495822630141
"MG13","Bacteroides.Otu2625",0.000667759314181517
"MG14","Bacteroides.Otu2625",0.000433795547245028
"MG16","Bacteroides.Otu2625",-0.00337943290859094
"MG17","Bacteroides.Otu2625",-0.00102188520067287
"MG19","Bacteroides.Otu2625",-0.00053720115600456
"MG2","Bacteroides.Otu2625",-0.000829015449082341
"MG21","Bacteroides.Otu2625",-0.00466944954771032
"MG22","Bacteroides.Otu2625",0.00157535060309427
"MG23","Bacteroides.Otu2625",0
"MG25","Bacteroides.Otu2625",0.0220682239489678
"MG3","Bacteroides.Otu2625",0.0505240730190496
"MG4","Bacteroides.Otu2625",-0.00165471518530572
"MG6","Bacteroides.Otu2625",-0.0208850971803546
"MG8","Bacteroides.Otu2625",0.179890083709178
"MG1","Erysipelotrichaceae_incertae_sedis.Otu0818",0.000433947044839437
"MG10","Erysipelotrichaceae_incertae_sedis.Otu0818",0
"MG13","Erysipelotrichaceae_incertae_sedis.Otu0818",0
"MG14","Erysipelotrichaceae_incertae_sedis.Otu0818",0.00081093047298183
"MG16","Erysipelotrichaceae_incertae_sedis.Otu0818",0.00168151930174703
"MG17","Erysipelotrichaceae_incertae_sedis.Otu0818",0.0347462491367216
"MG19","Erysipelotrichaceae_incertae_sedis.Otu0818",-0.000805801685560528
"MG2","Erysipelotrichaceae_incertae_sedis.Otu0818",0.375879957250321
"MG21","Erysipelotrichaceae_incertae_sedis.Otu0818",0.00174723265788559
"MG22","Erysipelotrichaceae_incertae_sedis.Otu0818",0.00540509381108976
"MG23","Erysipelotrichaceae_incertae_sedis.Otu0818",-0.00101899783722721
"MG25","Erysipelotrichaceae_incertae_sedis.Otu0818",0
"MG3","Erysipelotrichaceae_incertae_sedis.Otu0818",0.000531161448111502
"MG4","Erysipelotrichaceae_incertae_sedis.Otu0818",0.00286417295621112
"MG6","Erysipelotrichaceae_incertae_sedis.Otu0818",-0.000639386145693241
"MG8","Erysipelotrichaceae_incertae_sedis.Otu0818",-0.00164854273447336
"MG1","Blautia.Otu2475",-0.00359100114850981
"MG10","Blautia.Otu2475",-0.00295521279334096
"MG13","Blautia.Otu2475",-0.00115211275487336
"MG14","Blautia.Otu2475",-0.00336121735663514
"MG16","Blautia.Otu2475",-0.00259802358067824
"MG17","Blautia.Otu2475",0.0209398607943143
"MG19","Blautia.Otu2475",-0.000891660505486863
"MG2","Blautia.Otu2475",0.00871504874415002
"MG21","Blautia.Otu2475",-0.00984149619283347
"MG22","Blautia.Otu2475",-0.00160282737390007
"MG23","Blautia.Otu2475",-0.00813047932083817
"MG25","Blautia.Otu2475",-0.0052924794100962
"MG3","Blautia.Otu2475",-0.00362379275467114
"MG4","Blautia.Otu2475",-0.0058152443999302
"MG6","Blautia.Otu2475",-0.000385915005769106
"MG8","Blautia.Otu2475",-0.00184300017487402
"MG1","Bacteroides.Otu0480",0
"MG10","Bacteroides.Otu0480",0
"MG13","Bacteroides.Otu0480",0
"MG14","Bacteroides.Otu0480",0
"MG16","Bacteroides.Otu0480",0.0267329852509872
"MG17","Bacteroides.Otu0480",0
"MG19","Bacteroides.Otu0480",0.160220750855987
"MG2","Bacteroides.Otu0480",0
"MG21","Bacteroides.Otu0480",-0.00348869544371099
"MG22","Bacteroides.Otu0480",0
"MG23","Bacteroides.Otu0480",0
"MG25","Bacteroides.Otu0480",-0.00117295045126361
"MG3","Bacteroides.Otu0480",-0.00275639940382178
"MG4","Bacteroides.Otu0480",-0.0706114674395686
"MG6","Bacteroides.Otu0480",-0.0678860759299926
"MG8","Bacteroides.Otu0480",-7.32600731945417e-05
"MG1","Bacteroides.Otu0929",0.00446344063808367
"MG10","Bacteroides.Otu0929",-0.0045464721752221
"MG13","Bacteroides.Otu0929",0.0146020408499295
"MG14","Bacteroides.Otu0929",0.0600454489935889
"MG16","Bacteroides.Otu0929",0.000980032898742971
"MG17","Bacteroides.Otu0929",-0.00468362419462133
"MG19","Bacteroides.Otu0929",-0.000268600587691545
"MG2","Bacteroides.Otu0929",-0.000621761617970208
"MG21","Bacteroides.Otu0929",-0.00565604148491758
"MG22","Bacteroides.Otu0929",-0.0071249879446862
"MG23","Bacteroides.Otu0929",0.0266931592190306
"MG25","Bacteroides.Otu0929",0.0181094983300552
"MG3","Bacteroides.Otu0929",0.0110620307137472
"MG4","Bacteroides.Otu0929",0.00459352258901436
"MG6","Bacteroides.Otu0929",-0.00179712015655022
"MG8","Bacteroides.Otu0929",-0.0233472636390017
"MG1","Clostridium_XI.Otu1804",-0.0366308773671779
"MG10","Clostridium_XI.Otu1804",-0.00113662171480095
"MG13","Clostridium_XI.Otu1804",-0.0011066611664481
"MG14","Clostridium_XI.Otu1804",-0.00889973227005839
"MG16","Clostridium_XI.Otu1804",0.0150591657945405
"MG17","Clostridium_XI.Otu1804",0.110784929740182
"MG19","Clostridium_XI.Otu1804",-0.00303493676109396
"MG2","Clostridium_XI.Otu1804",0.0276105057634844
"MG21","Clostridium_XI.Otu1804",-0.00573720317902666
"MG22","Clostridium_XI.Otu1804",-0.00969364728014695
"MG23","Clostridium_XI.Otu1804",-0.00553501113190944
"MG25","Clostridium_XI.Otu1804",0.00366995058497072
"MG3","Clostridium_XI.Otu1804",-0.00258412483733089
"MG4","Clostridium_XI.Otu1804",-0.00742741663838563
"MG6","Clostridium_XI.Otu1804",0.0239986025756087
"MG8","Clostridium_XI.Otu1804",-0.0109803347231408
"MG1","Bacteroides.Otu0069",-0.000737105835182498
"MG10","Bacteroides.Otu0069",0.0597373294281054
"MG13","Bacteroides.Otu0069",0.0183320030064763
"MG14","Bacteroides.Otu0069",-0.00393700723247462
"MG16","Bacteroides.Otu0069",0.00178192333899383
"MG17","Bacteroides.Otu0069",0.0030765917754108
"MG19","Bacteroides.Otu0069",5.51092352704657e-05
"MG2","Bacteroides.Otu0069",0
"MG21","Bacteroides.Otu0069",0.00360725073580659
"MG22","Bacteroides.Otu0069",-0.00762166555350249
"MG23","Bacteroides.Otu0069",0.00148312885930771
"MG25","Bacteroides.Otu0069",0.0137638794558114
"MG3","Bacteroides.Otu0069",0.0518911063019151
"MG4","Bacteroides.Otu0069",0.0140286110007933
"MG6","Bacteroides.Otu0069",-0.0080180511850223
"MG8","Bacteroides.Otu0069",0.00250659348183855
"MG1","Escherichia_Shigella.Otu2393",-0.00176149283575366
"MG10","Escherichia_Shigella.Otu2393",-0.000454648768151436
"MG13","Escherichia_Shigella.Otu2393",-0.000528820705125037
"MG14","Escherichia_Shigella.Otu2393",0
"MG16","Escherichia_Shigella.Otu2393",0.00184967104887344
"MG17","Escherichia_Shigella.Otu2393",0.127986717262635
"MG19","Escherichia_Shigella.Otu2393",0
"MG2","Escherichia_Shigella.Otu2393",0.00223600030647098
"MG21","Escherichia_Shigella.Otu2393",-0.000286861728710573
"MG22","Escherichia_Shigella.Otu2393",-0.000357015344075928
"MG23","Escherichia_Shigella.Otu2393",-0.000440140830859452
"MG25","Escherichia_Shigella.Otu2393",0
"MG3","Escherichia_Shigella.Otu2393",0
"MG4","Escherichia_Shigella.Otu2393",-2.98018234278308e-05
"MG6","Escherichia_Shigella.Otu2393",-0.00424238631735487
"MG8","Escherichia_Shigella.Otu2393",-0.00065934061156813
"MG1","Bacteroides.Otu2765",0.0023557104242764
"MG10","Bacteroides.Otu2765",0.0416569654665357
"MG13","Bacteroides.Otu2765",0.00652870316936673
"MG14","Bacteroides.Otu2765",-0.00044704304225542
"MG16","Bacteroides.Otu2765",-0.0112111316224287
"MG17","Bacteroides.Otu2765",-0.000912940871440726
"MG19","Bacteroides.Otu2765",0
"MG2","Bacteroides.Otu2765",0.00299328571975791
"MG21","Bacteroides.Otu2765",-0.000966382126773619
"MG22","Bacteroides.Otu2765",0.0212909462493593
"MG23","Bacteroides.Otu2765",0.0537375738865238
"MG25","Bacteroides.Otu2765",0.0188767368150546
"MG3","Bacteroides.Otu2765",0.0163130880060801
"MG4","Bacteroides.Otu2765",-0.00373419806081654
"MG6","Bacteroides.Otu2765",0.00184622288376308
"MG8","Bacteroides.Otu2765",-0.012286650120546
"MG1","Bacteroides.Otu0661",0.00403932385199617
"MG10","Bacteroides.Otu0661",-0.00500111577464984
"MG13","Bacteroides.Otu0661",0.0133547903005235
"MG14","Bacteroides.Otu0661",0.0364461872776466
"MG16","Bacteroides.Otu0661",0.00750836392925124
"MG17","Bacteroides.Otu0661",-0.00332112137495406
"MG19","Bacteroides.Otu0661",0
"MG2","Bacteroides.Otu0661",0
"MG21","Bacteroides.Otu0661",-0.00543729956427839
"MG22","Bacteroides.Otu0661",-0.00608896537376026
"MG23","Bacteroides.Otu0661",0.0303994703800336
"MG25","Bacteroides.Otu0661",0.00480520461247144
"MG3","Bacteroides.Otu0661",-0.0165293373385107
"MG4","Bacteroides.Otu0661",-0.00250600299036468
"MG6","Bacteroides.Otu0661",-0.00249702241164553
"MG8","Bacteroides.Otu0661",-0.0143215526331161
"MG1","Bacteroides.Otu2481",0
"MG10","Bacteroides.Otu2481",0
"MG13","Bacteroides.Otu2481",0
"MG14","Bacteroides.Otu2481",0
"MG16","Bacteroides.Otu2481",0
"MG17","Bacteroides.Otu2481",0
"MG19","Bacteroides.Otu2481",0
"MG2","Bacteroides.Otu2481",-0.000207253884526626
"MG21","Bacteroides.Otu2481",0
"MG22","Bacteroides.Otu2481",0
"MG23","Bacteroides.Otu2481",0
"MG25","Bacteroides.Otu2481",-0.000128932439044534
"MG3","Bacteroides.Otu2481",-0.269605841674292
"MG4","Bacteroides.Otu2481",-0.000206839491078924
"MG6","Bacteroides.Otu2481",-0.000213128728139249
"MG8","Bacteroides.Otu2481",0
"MG1","Bacteroides.Otu1201",0.00892679235725356
"MG10","Bacteroides.Otu1201",-0.0038645050434059
"MG13","Bacteroides.Otu1201",0.0136582895993107
"MG14","Bacteroides.Otu1201",0.0235129139074544
"MG16","Bacteroides.Otu1201",0.0112576090526084
"MG17","Bacteroides.Otu1201",-0.0058758071159706
"MG19","Bacteroides.Otu1201",-0.000805801685560528
"MG2","Bacteroides.Otu1201",0.00292155394332797
"MG21","Bacteroides.Otu1201",0.000217273913613338
"MG22","Bacteroides.Otu1201",-0.00409436620860209
"MG23","Bacteroides.Otu1201",0.000741564633553569
"MG25","Bacteroides.Otu1201",0.0435766517630585
"MG3","Bacteroides.Otu1201",0.00939032188265589
"MG4","Bacteroides.Otu1201",0.00339346975639397
"MG6","Bacteroides.Otu1201",0.00412867421671522
"MG8","Bacteroides.Otu1201",0.00166234229838695
"MG1","Bacteroides.Otu0006",0.000257797671080662
"MG10","Bacteroides.Otu0006",0.0155492128056372
"MG13","Bacteroides.Otu0006",0.0180892216776953
"MG14","Bacteroides.Otu0006",0.0114535749405911
"MG16","Bacteroides.Otu0006",0.00028503939273378
"MG17","Bacteroides.Otu0006",0.00376783375567619
"MG19","Bacteroides.Otu0006",-0.0022236234367829
"MG2","Bacteroides.Otu0006",0
"MG21","Bacteroides.Otu0006",0.015768240513648
"MG22","Bacteroides.Otu0006",-0.00842089428899218
"MG23","Bacteroides.Otu0006",0.0105934263210006
"MG25","Bacteroides.Otu0006",0.00868247657487059
"MG3","Bacteroides.Otu0006",0.0249809978680265
"MG4","Bacteroides.Otu0006",0.00329471516260262
"MG6","Bacteroides.Otu0006",0.0013997961955744
"MG8","Bacteroides.Otu0006",-0.0184760621446797
"MG1","Bacteroides.Otu2437",-0.00176149283575366
"MG10","Bacteroides.Otu2437",-0.00954747941037601
"MG13","Bacteroides.Otu2437",6.07053966724828e-05
"MG14","Bacteroides.Otu2437",-7.07664000541612e-05
"MG16","Bacteroides.Otu2437",0.0250520288612818
"MG17","Bacteroides.Otu2437",-8.51571147740252e-05
"MG19","Bacteroides.Otu2437",0.0147582835458755
"MG2","Bacteroides.Otu2437",-0.00518132396715547
"MG21","Bacteroides.Otu2437",0.00562694810748677
"MG22","Bacteroides.Otu2437",0.00226931049191718
"MG23","Bacteroides.Otu2437",0
"MG25","Bacteroides.Otu2437",-0.00143081478066505
"MG3","Bacteroides.Otu2437",-0.0425133841776368
"MG4","Bacteroides.Otu2437",-0.0919827574244542
"MG6","Bacteroides.Otu2437",-0.0242837940850309
"MG8","Bacteroides.Otu2437",-0.000146520145995894
"MG1","Akkermansia.Otu1935",0
"MG10","Akkermansia.Otu1935",0.000802890319198071
"MG13","Akkermansia.Otu1935",0
"MG14","Akkermansia.Otu1935",0
"MG16","Akkermansia.Otu1935",0
"MG17","Akkermansia.Otu1935",0
"MG19","Akkermansia.Otu1935",-0.000268600587691545
"MG2","Akkermansia.Otu1935",0
"MG21","Akkermansia.Otu1935",-0.00535327740507361
"MG22","Akkermansia.Otu1935",0.154008078387939
"MG23","Akkermansia.Otu1935",-0.00198996952143726
"MG25","Akkermansia.Otu1935",-0.00038679730856033
"MG3","Akkermansia.Otu1935",8.8526912065672e-05
"MG4","Akkermansia.Otu1935",0
"MG6","Akkermansia.Otu1935",0.00857492699076214
"MG8","Akkermansia.Otu1935",0
"MG1","Bacteroides.Otu1726",0
"MG10","Bacteroides.Otu1726",0
"MG13","Bacteroides.Otu1726",0
"MG14","Bacteroides.Otu1726",-7.07664000541612e-05
"MG16","Bacteroides.Otu1726",0
"MG17","Bacteroides.Otu1726",0
"MG19","Bacteroides.Otu1726",0
"MG2","Bacteroides.Otu1726",0
"MG21","Bacteroides.Otu1726",0
"MG22","Bacteroides.Otu1726",0
"MG23","Bacteroides.Otu1726",0
"MG25","Bacteroides.Otu1726",0
"MG3","Bacteroides.Otu1726",-0.211411199058709
"MG4","Bacteroides.Otu1726",0
"MG6","Bacteroides.Otu1726",-0.000639386145693241
"MG8","Bacteroides.Otu1726",0
"MG1","Faecalibacterium.Otu0751",-0.0201839360935088
